DEPARTAMENTO,MUNICIPIO,ZONA
Antioquia,Amagá,4 Palos
Antioquia,Peque,El Seno
Santander,Bucaramanga,Honda de Palmas
Antioquia,La Unión,Vereda las piedras
Santander,Bucaramanga,Sitio
Risaralda,Dosquebradas,Acequia Planta Belmonte
Quindío,La Tebaida,San José
Nariño,San Lorenzo,Zona Rural
Huila,La Argentina,I.P. El Pencil
Caldas,Aguadas,V. Arma
Huila,Pital,
Huila,Pitalito,
Huila,Tesalia,
Tolima,Herveo,Carretera Fresno-Manizales km 24
Boyacá,Soatá,
Tolima,Líbano,
Nariño,Pasto,Carretera Panamericana
Nariño,San Andrés De Tumaco,V. Panamericana
Putumayo,,Carretera Panamericana
Antioquia,Apartadó,B. Alfonso Lopez.
Tolima,Anzoátegui,
Nariño,Pasto,km 22 V. Panamericana
Cundinamarca,Nocaima,El Volador
Bolívar,Morales,Ocaña
Cundinamarca,Arbeláez,Paramillo
Cundinamarca,El Peñón,
Cundinamarca,La Palma,
Cundinamarca,Yacopí,
Antioquia,Medellín,Bs. Caicedo El Salado y Santa Cruz
Caldas,Aranzazu,Carretera Neira-Aranzazu km 43
Caldas,Manizales,V. Manizales-Fresno
Tolima,Fresno,V. Manizales-Fresno
Casanare,Aguazul,Las Lajas (Unete inspección en Aguazul)
Boyacá,Paz De Río,Vda. Chitagoto
Antioquia,Ituango,Carretera Medellín-Ituango
Antioquia,Medellín,Carretera Medellín-Ituango
Antioquia,Giraldo,Manglar
Cundinamarca,Bogota D.C.,entre Santa Lucía y Hoya Grande
Cundinamarca,Facatativa,entre Santa Lucía y Hoya Grande
Cundinamarca,Funza,entre Santa Lucía y Hoya Grande
Cundinamarca,La Vega,entre Santa Lucía y Hoya Grande
Antioquia,Caucasia,
Antioquia,Valdivia,Carretera Troncal del Norte
Quindío,Armenia,Sector La Línea
Quindío,Calarcá,Sector La Línea
Tolima,Cajamarca,Sector La Línea
Risaralda,Pereira,Cra 2 con calle 19
Nariño,El Tablón De Gómez,Carretera Cano-El Tablón
Nariño,La Unión,CarreteraTaminango-La Unión
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
